Year-Month,Date,Values
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,1378.97
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,2646.25
2022-03,01.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,1378.97
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,2646.25
2022-03,02.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,1378.97
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,2646.25
2022-03,03.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,1378.97
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,2646.25
2022-03,04.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,1378.97
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,2646.25
2022-03,05.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,1378.97
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
2022-03,06.03.2022,2646.25
