Hour,Declared_SELL,Declared_BUY,Changing_SELL,Changing_BUY,Deficit_Surplus
2022-03-01 00:00:00,3971.8,2106.9,-12.84,214.32,1864.90
2022-03-01 01:00:00,4134.6,1848.3,-19.02,254.76,2286.30
2022-03-01 02:00:00,4464.9,1769.7,-20.37,259.91,2695.20
2022-03-01 03:00:00,4480.7,1714.6,-25.66,249.78,2766.10
2022-03-01 04:00:00,4465.4,1741.8,-29.05,249.90,2723.60
2022-03-01 05:00:00,4353.3,1907.3,-30.05,237.40,2446.00
2022-03-01 06:00:00,4295.2,2426.4,-25.63,172.57,1868.80
2022-03-01 07:00:00,5174.7,2547.1,-20.92,133.36,2627.60
2022-03-01 08:00:00,5252.1,2998.1,-25.11,93.91,2254.00
2022-03-01 09:00:00,5133.9,2896.2,-28.58,87.41,2237.70
2022-03-01 10:00:00,5153.8,2452.3,-28.97,98.44,2701.50
2022-03-01 11:00:00,5326.6,2298,-30.24,103.31,3028.60
2022-03-01 12:00:00,5322.9,2123,-30.93,133.17,3199.90
2022-03-01 13:00:00,5325,2077.7,-29.69,123.70,3247.30
2022-03-01 14:00:00,5323.8,1981.5,-27.82,114.22,3342.30
2022-03-01 15:00:00,5609.5,2324.2,-22.82,110.56,3285.30
2022-03-01 16:00:00,5602.3,2815.8,-22.65,72.66,2786.50
2022-03-01 17:00:00,5590.4,3184.4,-17.91,68.80,2406.00
2022-03-01 18:00:00,5503.6,3501,-18.17,55.35,2002.60
2022-03-01 19:00:00,5519.7,3374.4,-18.37,61.26,2145.30
2022-03-01 20:00:00,5572.7,3108.1,-20.62,68.71,2464.60
2022-03-01 21:00:00,5475.6,2741.8,-21.87,81.99,2733.80
2022-03-01 22:00:00,5484.1,2205.1,-25.45,103.52,3279.00
2022-03-01 23:00:00,4305.7,2289.4,-35.91,122.14,2016.30
2022-03-02 00:00:00,4076.1,1778.8,2.63,-15.57,2297.30
2022-03-02 01:00:00,4531.5,1539.6,9.60,-16.70,2991.90
2022-03-02 02:00:00,4564.4,1437.3,2.23,-18.78,3127.10
2022-03-02 03:00:00,4680,1373,4.45,-19.92,3307.00
2022-03-02 04:00:00,4749.1,1397.9,6.35,-19.74,3351.20
2022-03-02 05:00:00,4738.7,1573.9,8.85,-17.48,3164.80
2022-03-02 06:00:00,4556.6,2012.6,6.09,-17.05,2544.00
2022-03-02 07:00:00,5260.8,2162.5,1.66,-15.10,3098.30
2022-03-02 08:00:00,5343.3,2719.1,1.74,-9.31,2624.20
2022-03-02 09:00:00,5524.9,2756.7,7.62,-4.82,2768.20
2022-03-02 10:00:00,5591.1,2367.1,8.49,-3.47,3224.00
2022-03-02 11:00:00,5792.2,2241.4,8.74,-2.46,3550.80
2022-03-02 12:00:00,5776.4,2045.4,8.52,-3.66,3731.00
2022-03-02 13:00:00,5838,2010,9.63,-3.26,3828.00
2022-03-02 14:00:00,5767.9,1929,8.34,-2.65,3838.90
2022-03-02 15:00:00,5789.9,2212.6,3.22,-4.80,3577.30
2022-03-02 16:00:00,5659.8,2637.5,1.03,-6.33,3022.30
2022-03-02 17:00:00,5574.3,3014,-0.29,-5.35,2560.30
2022-03-02 18:00:00,5515.7,3348.1,0.22,-4.37,2167.60
2022-03-02 19:00:00,5516.6,3154.1,-0.06,-6.53,2362.50
2022-03-02 20:00:00,5498.7,2841,-1.33,-8.59,2657.70
2022-03-02 21:00:00,5405.9,2456.1,-1.27,-10.42,2949.80
2022-03-02 22:00:00,4429.8,1908.8,-19.22,-13.44,2521.00
2022-03-02 23:00:00,4612.9,2015.7,7.13,-11.96,2597.20
2022-03-03 00:00:00,5065.7,1700.8,24.28,-4.38,3364.90
2022-03-03 01:00:00,5011.5,1398,10.59,-9.20,3613.50
2022-03-03 02:00:00,4792.9,1255.9,5.01,-12.62,3537.00
2022-03-03 03:00:00,4790.4,1177.7,2.36,-14.22,3612.70
2022-03-03 04:00:00,4791.4,1225.9,0.89,-12.30,3565.50
2022-03-03 05:00:00,4831.7,1468.3,1.96,-6.71,3363.40
2022-03-03 06:00:00,4978.3,2040.3,9.25,1.38,2938.00
2022-03-03 07:00:00,6033.7,2162.5,14.69,0.00,3871.20
2022-03-03 08:00:00,6259.3,2714.6,17.14,-0.17,3544.70
2022-03-03 09:00:00,6465.3,2882.5,17.02,4.56,3582.80
2022-03-03 10:00:00,6273.4,2556.9,12.20,8.02,3716.50
2022-03-03 11:00:00,6651.8,2487.4,14.84,10.98,4164.40
2022-03-03 12:00:00,6550.1,2331.1,13.39,13.97,4219.00
