index,timestamp,HAES (Ukraina)_Zheshuv (Polscha) PX,HAES (Ukraina)_Zheshuv (Polscha) NTC,HAES (Ukraina)_Zheshuv (Polscha) AC,Moldova_Ukraina PX,Moldova_Ukraina NTC,Moldova_Ukraina AC,Rumunіja_Ukraina PX,Rumunіja_Ukraina NTC,Rumunіja_Ukraina AC,Slovachchina_Ukraina PX,Slovachchina_Ukraina NTC,Slovachchina_Ukraina AC,Ugorschina_Ukraina PX,Ugorschina_Ukraina NTC,Ugorschina_Ukraina AC,Ukraina_Moldova PX,Ukraina_Moldova NTC,Ukraina_Moldova AC,Ukraina_Polscha PX,Ukraina_Polscha NTC,Ukraina_Polscha AC,Ukraina_Rumunіja PX,Ukraina_Rumunіja NTC,Ukraina_Rumunіja AC,Ukraina_Slovachchina PX,Ukraina_Slovachchina NTC,Ukraina_Slovachchina AC,Ukraina_Slovachchina35 PX,Ukraina_Slovachchina35 NTC,Ukraina_Slovachchina35 AC,Ukraina_Ugorschina PX,Ukraina_Ugorschina NTC,Ukraina_Ugorschina AC,Zheshuv (Polscha)_HAES (Ukraina) PX,Zheshuv (Polscha)_HAES (Ukraina) NTC,Zheshuv (Polscha)_HAES (Ukraina) AC
1651341600,2022-04-30 00:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651345200,2022-04-30 01:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651348800,2022-04-30 02:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651352400,2022-04-30 03:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651356000,2022-04-30 04:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651359600,2022-04-30 05:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651363200,2022-04-30 06:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651366800,2022-04-30 07:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651370400,2022-04-30 08:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651374000,2022-04-30 09:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651377600,2022-04-30 10:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651381200,2022-04-30 11:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651384800,2022-04-30 12:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651388400,2022-04-30 13:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651392000,2022-04-30 14:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651395600,2022-04-30 15:00:00,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
